date,sales
2025-01-01,12054.849074355798
2025-01-02,12588.919881842527
2025-01-03,13182.801429983821
2025-01-04,12856.606190731956
2025-01-05,11686.427659257213
2025-01-06,11416.63039511323
2025-01-07,11894.429944805106
2025-01-08,12516.61118629388
2025-01-09,13253.067404662776
2025-01-10,13265.116250724126
2025-01-11,13096.804245428231
2025-01-12,12303.616541592115
2025-01-13,11663.700163738082
2025-01-14,11955.37814654053
2025-01-15,12429.71194247336
2025-01-16,12779.884116778841
2025-01-17,13089.503605621408
2025-01-18,12319.170820716594
2025-01-19,11848.816512453774
2025-01-20,11169.909439203097
2025-01-21,11272.45658276103
2025-01-22,11827.457249674471
2025-01-23,12833.079348143425
2025-01-24,12767.338565666441
2025-01-25,12295.726737927745
2025-01-26,11628.103350959198
2025-01-27,11400.711756580225
2025-01-28,11622.719807956095
2025-01-29,12395.260380703168
2025-01-30,13170.544279771253
2025-01-31,13754.185293511233
2025-02-01,12947.206736168686
2025-02-02,12298.02661990131
2025-02-03,11883.335547092443
2025-02-04,12392.73470743059
2025-02-05,13222.926444392757
2025-02-06,13720.021650052768
2025-02-07,13790.995412417018
2025-02-08,13351.929412341226
2025-02-09,12878.280955891343
2025-02-10,12414.808457165067
2025-02-11,12505.626179661935
2025-02-12,12900.711616219645
2025-02-13,13663.377287633944
2025-02-14,13735.252431867875
2025-02-15,13218.165125661148
2025-02-16,12522.49574091276
2025-02-17,11874.526984040784
2025-02-18,12057.144317723501
2025-02-19,12559.749061043172
2025-02-20,13226.886820159025
2025-02-21,13432.345173672667
2025-02-22,12594.978277760176
2025-02-23,12080.123149890038
2025-02-24,11630.668764539927
2025-02-25,11820.733795515374
2025-02-26,12624.059223314369
2025-02-27,13695.142832588404
2025-02-28,13533.807635145657
2025-03-01,13511.5310212084
2025-03-02,12408.282262859235
2025-03-03,12302.592230116
2025-03-04,12663.770281005183
2025-03-05,13504.02338317628
2025-03-06,14278.992715925366
2025-03-07,14531.202659393533
2025-03-08,13922.006097578029
2025-03-09,13201.510351986179
2025-03-10,12997.281786187461
