customer_id,age,tenure_months,monthly_spend,orders_last_6m,support_calls,satisfaction_score,city,plan,churn
C0001,24,22,2266.26,9,0,3.1,Bengaluru,Standard,No
C0002,54,50,2417.21,13,0,4.1,Mumbai,Basic,No
C0003,49,1,2298.42,10,0,1.2,Hyderabad,Standard,Yes
C0004,39,54,2622.05,5,1,4.5,Bengaluru,Premium,No
C0005,39,33,3677.19,9,4,4.7,Mumbai,Standard,No
C0006,58,9,500.0,7,0,3.4,Chennai,Basic,No
C0007,23,19,2310.52,12,1,3.9,Mumbai,Standard,No
C0008,51,34,2641.21,6,0,3.9,Chennai,Standard,No
C0009,29,19,2736.8,8,1,2.8,Delhi,Premium,No
C0010,24,7,2202.47,11,4,3.9,Delhi,Basic,No
C0011,43,40,1094.62,15,3,2.7,Delhi,Premium,No
C0012,63,41,2762.4,7,2,2.9,Hyderabad,Basic,No
C0013,53,8,3881.88,5,1,4.4,Chennai,Basic,No
C0014,54,17,1272.91,6,3,4.3,Hyderabad,Basic,No
C0015,52,15,3191.06,7,3,2.8,Bengaluru,Basic,No
C0016,55,40,2237.18,3,0,2.7,Bengaluru,Basic,Yes
C0017,43,44,2450.94,10,4,2.8,Mumbai,Standard,No
C0018,25,44,1657.68,8,1,4.1,Chennai,Basic,No
C0019,57,57,2232.44,4,0,2.5,Delhi,Basic,No
C0020,40,47,3540.04,5,0,3.7,Bengaluru,Basic,No
C0021,42,20,2966.12,7,2,4.1,Mumbai,Basic,Yes
C0022,36,7,3885.85,14,3,3.3,Mumbai,Premium,Yes
C0023,28,37,3441.93,4,1,4.3,Delhi,Premium,Yes
C0024,61,55,2851.27,8,2,3.1,Bengaluru,Basic,No
C0025,55,59,3895.15,7,3,3.2,Mumbai,Standard,No
C0026,48,14,2851.19,8,2,2.5,Hyderabad,Standard,No
C0027,38,15,3162.39,7,2,4.3,Chennai,Premium,No
C0028,57,3,2262.74,14,1,2.7,Chennai,Basic,No
C0029,44,9,2553.24,5,3,3.7,Delhi,Basic,Yes
C0030,39,34,1942.06,10,3,3.3,Mumbai,Standard,No
C0031,40,33,3291.67,14,4,2.5,Delhi,Premium,Yes
C0032,30,23,1557.36,8,1,2.9,Delhi,Standard,No
C0033,24,19,3125.88,11,1,4.6,Chennai,Standard,No
C0034,44,50,2347.48,9,2,3.6,Mumbai,Basic,Yes
C0035,59,28,3437.0,6,0,2.5,Hyderabad,Standard,Yes
C0036,22,49,3100.7,14,2,3.7,Chennai,Premium,No
C0037,58,58,3956.52,8,6,3.3,Hyderabad,Standard,No
C0038,57,20,3084.62,11,1,5.0,Mumbai,Standard,No
C0039,32,13,1242.37,8,1,3.7,Delhi,Standard,No
C0040,48,58,2446.44,10,1,3.1,Mumbai,Standard,No
C0041,27,39,1562.39,11,1,4.7,Delhi,Standard,No
C0042,54,18,2085.38,7,2,1.7,Bengaluru,Standard,No
C0043,51,38,3708.98,10,4,3.5,Delhi,Premium,No
C0044,35,31,3010.03,7,1,5.0,Chennai,Standard,No
C0045,23,55,1940.86,9,0,3.3,Mumbai,Basic,No
