customer_id,recency_days,purchase_frequency,monetary_value
S0001,41.3,9.4,16074.28
S0002,103.2,3.4,3253.39
S0003,56.8,14.7,23560.02
S0004,99.7,1.0,3800.24
S0005,11.4,23.7,35070.88
S0006,7.9,34.2,41856.83
S0007,35.9,15.8,18576.76
S0008,48.4,6.5,20425.29
S0009,53.9,2.1,8545.18
S0010,55.4,13.9,12492.46
S0011,13.0,20.2,41261.97
S0012,9.8,22.9,43201.43
S0013,53.7,4.5,27306.43
S0014,12.5,16.3,53407.27
S0015,38.1,5.0,17680.89
S0016,1.0,26.6,52623.43
S0017,1.0,32.6,38492.79
S0018,44.6,11.5,21336.94
S0019,14.9,9.4,43080.34
S0020,28.2,6.3,22388.41
S0021,53.3,6.1,19736.92
S0022,39.5,12.9,19163.04
S0023,48.3,7.5,18602.01
S0024,124.0,3.2,683.2
S0025,130.5,1.7,6544.93
S0026,16.6,24.9,42334.15
S0027,19.0,33.1,39861.87
S0028,48.8,15.6,19823.51
S0029,57.4,10.1,23134.98
S0030,31.7,14.0,12784.94
S0031,50.7,10.6,16436.93
S0032,100.9,4.1,500.0
S0033,8.8,31.7,31030.2
S0034,43.6,10.0,13374.8
S0035,7.7,29.3,30864.87
S0036,48.4,9.2,31088.25
S0037,50.8,14.6,18577.57
S0038,50.6,8.3,28940.17
S0039,9.6,19.3,32057.2
S0040,98.1,4.4,8799.71
S0041,61.8,1.0,7532.14
S0042,46.9,12.2,23655.33
S0043,103.6,7.3,5415.24
S0044,43.9,5.3,11789.99
S0045,102.7,2.9,8028.31
S0046,8.1,18.5,20658.21
S0047,10.0,22.6,65154.06
S0048,10.5,30.6,50285.53
S0049,3.2,26.5,51969.19
S0050,46.7,1.0,24620.72
S0051,13.2,30.1,26446.46
S0052,48.5,7.0,19274.2
S0053,9.1,21.7,39348.12
S0054,10.6,29.5,50439.32
S0055,92.1,5.1,3126.51
S0056,37.0,11.6,18188.44
S0057,124.3,3.9,5877.33
S0058,39.6,12.4,13704.16
S0059,5.8,24.5,33116.21
S0060,46.5,15.0,20730.36
S0061,43.1,18.5,6194.16
S0062,13.8,21.9,61327.0
S0063,96.3,1.0,9397.21
S0064,70.1,7.0,20514.12
S0065,37.3,10.7,7183.6
S0066,39.4,10.1,18190.38
S0067,77.9,9.1,27837.14
S0068,4.2,33.2,60032.01
S0069,98.8,5.5,6869.62
S0070,53.4,5.8,19790.46
S0071,7.1,24.0,32748.16
S0072,11.9,27.0,39137.99
S0073,42.9,5.1,17319.18
S0074,97.1,1.0,2160.51
S0075,112.5,4.4,5510.42
S0076,50.7,6.9,13709.15
S0077,74.8,1.0,544.31
S0078,49.3,9.8,4537.75
S0079,12.5,31.2,47383.55
S0080,51.1,9.2,13056.65
S0081,12.7,22.7,53381.89
S0082,18.6,22.1,32323.95
S0083,63.0,10.0,17151.17
S0084,6.6,24.7,21123.58
S0085,110.3,4.1,5333.38
S0086,116.3,1.0,3965.74
S0087,8.7,22.5,65835.98
S0088,32.5,13.0,16293.89
S0089,44.1,7.7,20410.49
S0090,4.3,30.2,42015.51
S0091,9.2,17.0,53735.74
S0092,14.2,20.1,39856.11
S0093,9.9,27.7,47376.34
S0094,6.1,32.4,44872.44
