campaign_id,advertising_spend,discount_percent,footfall,store_count,category,season,sales
CAM0001,45530.32,20.1,947,8,Fashion,Winter,86422.25
CAM0002,23430.0,4.5,1153,15,Electronics,Summer,138807.41
CAM0003,66825.9,27.9,1878,2,Fashion,Winter,82036.66
CAM0004,60581.53,10.9,579,17,Home,Monsoon,136402.77
CAM0005,19712.12,3.0,993,8,Electronics,Festival,107843.09
CAM0006,89137.98,5.2,1243,15,Grocery,Winter,128775.81
CAM0007,40004.48,28.0,1183,19,Electronics,Summer,110440.96
CAM0008,9725.18,7.4,158,14,Grocery,Festival,99157.72
CAM0009,36148.69,19.9,645,18,Home,Winter,130052.58
CAM0010,87636.39,4.7,1327,1,Fashion,Festival,97821.48
CAM0011,92110.88,5.8,1418,4,Electronics,Festival,137836.62
CAM0012,51587.85,26.4,1495,12,Grocery,Winter,108994.26
CAM0013,95852.29,4.4,1983,11,Fashion,Winter,129128.62
CAM0014,88147.97,0.6,1378,3,Home,Monsoon,124586.35
CAM0015,83396.92,15.0,1201,14,Home,Winter,143802.37
CAM0016,86672.46,25.9,731,2,Grocery,Monsoon,69189.18
CAM0017,41278.16,9.8,803,19,Grocery,Winter,116073.98
CAM0018,76864.55,3.8,1669,3,Grocery,Monsoon,124535.94
CAM0019,59847.21,29.5,990,9,Grocery,Summer,104286.95
CAM0020,73369.98,20.3,1459,16,Fashion,Monsoon,123063.79
CAM0021,21889.68,25.5,335,10,Home,Festival,74885.13
CAM0022,74482.42,22.6,343,15,Fashion,Summer,93576.86
CAM0023,95971.28,20.9,509,14,Electronics,Monsoon,135383.51
CAM0024,33753.02,11.5,470,19,Grocery,Monsoon,80324.96
CAM0025,98685.33,9.7,1253,9,Grocery,Festival,126740.95
CAM0026,40945.72,21.5,1310,19,Home,Winter,121159.48
CAM0027,23973.73,21.5,1160,10,Fashion,Winter,77562.94
CAM0028,15667.19,28.5,649,17,Fashion,Summer,88470.06
CAM0029,79571.38,17.1,1195,14,Grocery,Monsoon,142314.14
CAM0030,57708.41,8.8,326,3,Fashion,Festival,88226.35
CAM0031,34177.47,14.7,998,13,Home,Summer,100363.67
CAM0032,62802.79,18.4,394,17,Fashion,Winter,118593.15
CAM0033,36549.61,12.8,245,3,Home,Monsoon,67615.84
CAM0034,47593.99,23.7,414,16,Fashion,Monsoon,108383.51
CAM0035,86953.09,17.5,311,3,Electronics,Summer,98844.55
CAM0036,68475.82,0.3,1007,17,Home,Winter,137134.77
CAM0037,77428.17,17.1,1137,15,Grocery,Festival,105691.13
CAM0038,60431.89,19.0,1254,3,Grocery,Festival,70916.58
CAM0039,99182.81,27.5,935,14,Grocery,Monsoon,83708.4
CAM0040,27933.96,12.4,435,3,Fashion,Monsoon,65454.33
CAM0041,29917.66,17.2,139,11,Home,Summer,64740.42
CAM0042,13793.1,14.2,1453,18,Fashion,Summer,129234.03
CAM0043,57631.85,15.9,1967,4,Home,Winter,106664.34
CAM0044,63269.13,2.0,633,4,Fashion,Winter,90236.79
CAM0045,73966.35,26.9,488,9,Electronics,Summer,91013.61
CAM0046,36867.36,27.3,691,8,Electronics,Summer,93819.4
CAM0047,6164.4,16.4,507,1,Home,Winter,40801.07
CAM0048,65061.81,16.7,524,9,Grocery,Festival,84403.42
CAM0049,99876.07,1.7,1039,5,Fashion,Summer,135880.15
CAM0050,32982.19,17.9,1591,3,Home,Monsoon,87135.97
CAM0051,22473.77,12.9,1453,6,Grocery,Summer,78163.83
CAM0052,31767.86,21.3,1923,1,Grocery,Summer,80983.7
CAM0053,45414.47,1.4,778,18,Grocery,Festival,128925.26
CAM0054,28836.73,21.3,1035,19,Electronics,Monsoon,121667.58
CAM0055,37961.2,8.6,822,7,Electronics,Festival,103697.53
CAM0056,65629.64,19.6,179,17,Grocery,Summer,122491.23
CAM0057,37777.66,18.8,838,9,Electronics,Summer,92575.18
CAM0058,42625.6,6.8,595,18,Grocery,Summer,128164.95
CAM0059,8802.97,13.2,1009,4,Electronics,Monsoon,75712.82
CAM0060,92204.54,25.1,400,6,Fashion,Summer,98021.07
CAM0061,43654.17,18.2,1509,15,Grocery,Summer,117427.43
CAM0062,36173.63,2.1,1701,5,Grocery,Winter,109183.15
CAM0063,13216.0,13.3,1925,16,Home,Monsoon,107143.24
CAM0064,65247.41,9.4,261,9,Grocery,Monsoon,96049.54
CAM0065,87063.37,19.2,323,8,Electronics,Monsoon,125257.89
CAM0066,8909.55,18.4,1936,9,Home,Festival,105425.7
CAM0067,18800.88,0.3,1711,16,Electronics,Festival,151840.84
CAM0068,18907.03,18.2,1218,1,Electronics,Festival,82703.59
CAM0069,62216.11,22.0,710,15,Home,Winter,103453.53
CAM0070,92516.9,23.1,1083,15,Electronics,Festival,168598.17
CAM0071,46587.99,1.8,1117,16,Grocery,Summer,108002.14
CAM0072,37661.61,9.1,1709,19,Fashion,Summer,124584.45
CAM0073,77754.87,12.6,1105,15,Home,Summer,152037.86
CAM0074,75544.06,5.4,152,11,Electronics,Summer,127599.09
CAM0075,28441.83,12.6,1429,9,Electronics,Festival,147272.01
CAM0076,20278.5,2.1,1576,8,Fashion,Monsoon,94589.71
CAM0077,38991.95,3.4,666,16,Fashion,Festival,126819.99
CAM0078,78682.32,20.1,321,8,Home,Festival,96806.45
CAM0079,71031.02,7.9,370,11,Grocery,Summer,100602.64
CAM0080,68256.1,21.3,1697,2,Electronics,Monsoon,81754.4
CAM0081,83795.71,1.4,950,7,Home,Monsoon,125753.65
CAM0082,31327.38,16.9,1105,6,Fashion,Summer,86719.19
CAM0083,37269.95,11.7,1925,9,Home,Monsoon,110582.72
CAM0084,9022.25,23.9,216,10,Home,Monsoon,55482.97
CAM0085,87530.85,23.5,491,14,Electronics,Festival,121713.91
