city,plan,satisfaction_score,support_calls,orders_last_6m,tenure_months,days_since_last_order,churn
Hyderabad,Standard,1.89,4,6,19,145,Yes
Chennai,Basic,1.22,0,5,44,23,No
Mumbai,Premium,2.02,0,3,44,93,No
Chennai,Basic,3.11,3,5,47,155,No
Chennai,Standard,1.69,2,4,60,165,Yes
Hyderabad,Standard,1.67,5,9,39,49,No
Bengaluru,Basic,2.85,4,11,59,64,No
Delhi,Basic,1.13,1,2,36,34,Yes
Chennai,Standard,1.49,4,11,21,18,Yes
Bengaluru,Premium,2.66,6,13,41,64,No
Delhi,Premium,1.25,2,10,54,106,Yes
Chennai,Standard,2.59,1,10,48,74,No
Delhi,Standard,2.9,4,10,26,102,Yes
Bengaluru,Standard,2.81,6,11,13,172,Yes
Mumbai,Standard,4.48,2,11,36,17,No
Bengaluru,Standard,3.12,5,8,24,141,Yes
Hyderabad,Standard,2.87,2,7,41,52,No
Delhi,Premium,2.64,1,8,26,170,No
Mumbai,Standard,4.27,1,6,21,64,Yes
Delhi,Premium,4.58,1,11,18,34,No
Delhi,Standard,4.41,1,7,15,95,Yes
Chennai,Basic,3.69,2,10,15,87,No
Hyderabad,Basic,1.55,2,9,6,102,Yes
Delhi,Standard,2.11,1,11,43,161,No
Bengaluru,Standard,1.18,1,6,31,140,Yes
Bengaluru,Premium,4.72,3,5,28,76,No
Chennai,Basic,3.64,3,6,8,19,Yes
Hyderabad,Premium,3.99,1,10,29,137,Yes
Hyderabad,Premium,2.25,3,10,21,74,No
Bengaluru,Basic,4.38,4,7,17,145,Yes
Mumbai,Premium,2.04,3,5,56,50,Yes
Chennai,Premium,1.01,3,4,57,39,No
Chennai,Standard,2.51,5,11,49,169,No
Bengaluru,Standard,3.28,2,13,24,138,No
Bengaluru,Premium,2.91,1,5,58,12,No
Mumbai,Standard,4.45,1,10,60,79,No
Mumbai,Basic,1.42,3,5,50,15,No
Hyderabad,Premium,3.22,2,12,36,28,No
Chennai,Standard,3.05,6,10,31,132,No
Chennai,Standard,2.13,0,10,47,36,Yes
Bengaluru,Basic,4.29,3,4,34,119,Yes
Hyderabad,Standard,4.01,4,5,2,65,Yes
Chennai,Basic,3.93,5,13,42,98,Yes
Hyderabad,Premium,4.5,1,6,3,47,No
Hyderabad,Basic,3.89,2,12,30,81,Yes
Bengaluru,Basic,1.93,2,5,8,39,No
Hyderabad,Standard,3.82,2,10,52,38,No
Mumbai,Basic,2.23,4,4,7,44,Yes
