category,season,store_count,discount_percent,footfall,avg_price,sales
Fashion,Spring,23,27.05,459,2502.33,11898.71
Home,Summer,21,8.05,1020,45154.46,30550.46
Grocery,Winter,19,4.6,2476,42627.97,26370.38
Grocery,Summer,16,30.38,2610,33423.45,18852.54
Electronics,Spring,29,33.71,1062,29701.76,25621.59
Electronics,Summer,19,1.1,1927,44625.89,32174.69
Electronics,Spring,4,25.59,2983,9347.98,28261.25
Home,Summer,29,31.83,1713,4040.56,22840.54
Grocery,Spring,28,30.01,1740,12051.56,18850.36
Grocery,Spring,18,33.76,2316,39749.46,26092.34
Electronics,Spring,2,26.6,316,1830.05,20877.67
Home,Winter,1,15.48,477,29182.06,17645.12
Home,Summer,15,10.92,218,49772.33,27746.58
Electronics,Summer,5,11.23,289,42799.24,22863.58
Electronics,Summer,20,25.35,2914,26120.14,39968.71
Electronics,Spring,11,26.1,469,3275.68,15086.54
Fashion,Summer,10,7.01,1901,41585.54,25185.93
Grocery,Summer,2,30.38,2296,29989.03,17542.4
Fashion,Spring,3,25.02,751,5835.16,6973.39
Fashion,Monsoon,23,19.7,1982,4783.48,20462.78
Grocery,Spring,23,16.5,1611,45490.38,26221.75
Electronics,Summer,12,19.01,869,33493.09,28385.53
Fashion,Spring,20,5.57,2521,41481.41,25556.64
Fashion,Monsoon,5,7.13,880,43961.05,29608.88
Fashion,Spring,5,3.19,1816,28631.44,24827.22
Home,Summer,6,5.38,2307,25920.57,35534.3
Electronics,Monsoon,30,15.88,2498,21578.33,31652.55
Grocery,Winter,9,18.56,1411,15915.63,19874.43
Grocery,Summer,2,0.63,1349,21786.34,19906.85
Electronics,Monsoon,21,27.89,622,38716.59,28369.84
Grocery,Monsoon,12,10.3,621,30135.98,21751.79
Electronics,Winter,3,31.91,882,44636.91,27600.79
Electronics,Spring,20,33.86,2420,22224.66,29861.51
Home,Spring,26,6.49,1035,30393.77,14289.42
Home,Summer,22,16.17,2330,31602.25,31566.49
Home,Winter,12,0.04,1788,29625.69,22916.77
Fashion,Spring,24,20.94,587,35161.43,21051.19
Electronics,Winter,17,21.26,1950,11947.93,25445.98
Grocery,Spring,10,8.66,945,25666.95,15596.12
Fashion,Monsoon,30,19.54,2271,5300.82,24423.76
Electronics,Spring,24,7.89,2937,19287.12,35089.36
Fashion,Winter,27,5.63,2561,24434.59,32574.15
Electronics,Monsoon,14,22.8,2103,32645.99,36157.42
Home,Monsoon,23,11.41,1848,47531.5,30196.94
Fashion,Monsoon,17,20.66,785,30072.49,19070.16
Grocery,Winter,18,15.16,2260,37205.34,29436.42
Fashion,Summer,19,34.45,2269,25362.68,28604.25
Grocery,Summer,17,5.24,1667,31741.79,25760.46
Grocery,Summer,14,16.26,1345,3639.52,11111.27
Electronics,Winter,9,23.82,138,12794.14,23020.0
Home,Monsoon,8,13.84,2644,18156.47,24611.17
Home,Summer,2,34.11,879,23677.42,21796.88
Home,Winter,13,25.27,1356,2377.87,16365.68
Home,Summer,25,22.99,2296,7087.2,18884.05
Grocery,Spring,7,26.5,2808,13913.03,20612.3
Home,Summer,9,33.34,2027,48579.48,19842.4
Electronics,Summer,22,31.77,401,16634.22,22360.83
Electronics,Monsoon,22,25.35,2385,24153.85,28656.66
Electronics,Winter,11,26.22,746,9885.28,19469.59
Fashion,Monsoon,14,5.11,762,30577.93,18775.13
Fashion,Monsoon,4,3.6,2383,14106.09,25241.75
Fashion,Monsoon,26,19.98,1859,10428.93,24676.71
Home,Monsoon,26,0.64,2350,25876.97,28940.68
Fashion,Monsoon,29,16.88,355,374.74,19625.72
Fashion,Summer,13,7.36,697,482.44,11659.7
Grocery,Monsoon,2,12.11,761,11031.53,6619.35
Electronics,Monsoon,23,27.15,334,1932.4,23874.52
