Fold,Model,Accuracy,Precision,Recall,F1,Dataset
1,Logistic Regression,0.9736842105263158,0.9739576213260425,0.9736842105263158,0.9737421322933159,Breast Cancer
1,Decision Tree,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,Breast Cancer
1,Random Forest,0.9649122807017544,0.9658276125095346,0.9649122807017544,0.965060378218273,Breast Cancer
2,Logistic Regression,0.9473684210526315,0.9514695830485304,0.9473684210526315,0.9464615931721194,Breast Cancer
2,Decision Tree,0.868421052631579,0.8702579097315939,0.868421052631579,0.8656823862391516,Breast Cancer
2,Random Forest,0.9385964912280702,0.9409048938134812,0.9385964912280702,0.937745598564312,Breast Cancer
3,Logistic Regression,0.9649122807017544,0.966759002770083,0.9649122807017544,0.9645092460881936,Breast Cancer
3,Decision Tree,0.8859649122807017,0.8853981106612685,0.8859649122807017,0.8850167747410855,Breast Cancer
3,Random Forest,0.956140350877193,0.9568690958164642,0.956140350877193,0.9557756825927252,Breast Cancer
4,Logistic Regression,0.9912280701754386,0.9914320685434516,0.9912280701754386,0.9912489986793391,Breast Cancer
4,Decision Tree,0.9385964912280702,0.9407576913297737,0.9385964912280702,0.9390019435970705,Breast Cancer
4,Random Forest,0.9473684210526315,0.9539473684210527,0.9473684210526315,0.9479786422578186,Breast Cancer
5,Logistic Regression,0.9911504424778761,0.9912733529990166,0.9911504424778761,0.991128074399212,Breast Cancer
5,Decision Tree,0.9292035398230089,0.9290883743484057,0.9292035398230089,0.9288318104419983,Breast Cancer
5,Random Forest,0.9646017699115044,0.9648866529276274,0.9646017699115044,0.9644159052209991,Breast Cancer
