Dataset,Model,Accuracy,Precision,Recall,F1,MAE,RMSE,R2,Runtime_Sec
breast_cancer,Decision Tree,0.9307467784505512,0.9311651124136623,0.9307467784505512,0.9305110908635237,,,,0.022104932004585864
breast_cancer,Gradient Boosting,0.9455270920664494,0.9465317921134008,0.9455270920664494,0.9452863058428924,,,,0.10301717999973334
breast_cancer,Logistic Regression,0.9778574755472752,0.9782550463973962,0.9778574755472752,0.9777506726703412,,,,0.02272400000365451
breast_cancer,Random Forest,0.956419810588418,0.9580845092149458,0.956419810588418,0.9562069867054803,,,,0.3113219640031457
diabetes_regression,Decision Tree,,,,,59.857821388639465,76.72880554231543,-0.017138920872382345,0.012469964001793414
diabetes_regression,Gradient Boosting,,,,,47.88535265322016,57.521845588867535,0.43229368977119154,0.03612117999698967
diabetes_regression,Linear Regression,,,,,44.51680835430317,54.92995745214593,0.4802736249073182,0.009880620000185445
diabetes_regression,Random Forest,,,,,47.47314259448417,58.341717438990464,0.41479200029253965,0.36532878400292246
digits_classification,Decision Tree,0.8383915196533581,0.8451975429493411,0.8383915196533581,0.8389934498401488,,,,0.04490263200248592
digits_classification,Gradient Boosting,0.8967118539151966,0.9005945424459757,0.8967118539151966,0.8967698224594058,,,,1.4539744400023482
digits_classification,Logistic Regression,0.9698378211080161,0.9708643277843177,0.9698378211080161,0.969890105233466,,,,0.06950274000526406
digits_classification,Random Forest,0.9759582172701949,0.9766377062598699,0.9759582172701949,0.9758978911517571,,,,0.5370620639983099
iris_classification,Decision Tree,0.9386666666666668,0.942997150997151,0.9386666666666668,0.9383699420086552,,,,0.01055995599948801
iris_classification,Gradient Boosting,0.9546666666666667,0.9575622895622895,0.9546666666666667,0.9545056580846054,,,,0.06894673999631777
iris_classification,Logistic Regression,0.9533333333333333,0.9556498316498316,0.9533333333333333,0.9532028049922786,,,,0.018734599999152123
iris_classification,Random Forest,0.9533333333333333,0.9561481481481481,0.9533333333333333,0.9531892357155515,,,,0.21979198400164024
synthetic_retail_churn,Decision Tree,0.5803333333333334,0.5812165743740855,0.5803333333333334,0.5791306964595911,,,,0.023823560001328587
synthetic_retail_churn,Gradient Boosting,0.6426666666666666,0.6441970425292329,0.6426666666666666,0.6415634026403909,,,,0.05541670400300063
synthetic_retail_churn,Logistic Regression,0.6803333333333333,0.6819135684602214,0.6803333333333333,0.6793304143141576,,,,0.026560012000845745
synthetic_retail_churn,Random Forest,0.622,0.6230385253140449,0.622,0.6210443691877755,,,,0.2920126119989436
synthetic_retail_sales,Decision Tree,,,,,4917.141455948229,6133.441241154953,0.13146446678700782,0.026234503999585285
synthetic_retail_sales,Gradient Boosting,,,,,4052.200600888643,5072.7038178540315,0.41071579444166295,0.04975290800211951
synthetic_retail_sales,Linear Regression,,,,,3729.6701452966768,4656.439205733397,0.5018582278855809,0.023190028000390158
synthetic_retail_sales,Random Forest,,,,,3986.9259623333332,4955.158427944219,0.4353897470881893,0.3939983359980397
wine,Decision Tree,0.8907301587301588,0.8987113221771486,0.8907301587301588,0.8893857102044553,,,,0.011247135997982695
wine,Gradient Boosting,0.937015873015873,0.9427082446932071,0.937015873015873,0.9365373766202741,,,,0.08803965999628417
wine,Logistic Regression,0.9842222222222222,0.9860417952417952,0.9842222222222222,0.9842936757939778,,,,0.019116256005363538
wine,Random Forest,0.9752380952380952,0.9773262718762719,0.9752380952380952,0.9751681557308935,,,,0.2266804839996621
