Repeat,Fold,Model,Runtime_Sec,Accuracy,Precision,Recall,F1
1,1,Logistic Regression,0.016200394999941636,0.6166666666666667,0.6172222222222222,0.6166666666666667,0.616773177734556
1,1,Decision Tree,0.009804825999935929,0.49166666666666664,0.49017647611001597,0.49166666666666664,0.4900691389063482
1,1,Random Forest,0.16622824600017339,0.6,0.6013348164627365,0.6,0.6
1,1,Gradient Boosting,0.02311336200000369,0.6166666666666667,0.6163299663299663,0.6166666666666667,0.615811011904762
1,2,Logistic Regression,0.059380387999908635,0.7166666666666667,0.7197916666666667,0.7166666666666667,0.7164304899509123
1,2,Decision Tree,0.009871064999970258,0.55,0.5492143658810326,0.55,0.5489955357142857
1,2,Random Forest,0.17283053500000278,0.625,0.6269145084934559,0.625,0.6248697826237933
1,2,Gradient Boosting,0.024029550000022937,0.6083333333333333,0.6127898244625928,0.6083333333333333,0.6071072463768116
1,3,Logistic Regression,0.037403995999966355,0.7,0.7005555555555555,0.7,0.7000833564879133
1,3,Decision Tree,0.010517557999946803,0.575,0.5758960822450679,0.575,0.5750885478158205
1,3,Random Forest,0.18769283799997538,0.65,0.65,0.65,0.65
1,3,Gradient Boosting,0.02360110600011467,0.6333333333333333,0.633446455505279,0.6333333333333333,0.6317948717948717
1,4,Logistic Regression,0.009091914000009638,0.65,0.6523148148148148,0.65,0.6465502675302731
1,4,Decision Tree,0.009277763999989475,0.5833333333333334,0.5827721661054994,0.5833333333333334,0.5824032738095238
1,4,Random Forest,0.17327573000011398,0.6083333333333333,0.608283603296391,0.6083333333333333,0.6062212573242757
1,4,Gradient Boosting,0.031717245999971055,0.6,0.5996606334841629,0.6,0.5983216783216783
1,5,Logistic Regression,0.011799907000067833,0.7166666666666667,0.7186979016958897,0.7166666666666667,0.7144325542100816
1,5,Decision Tree,0.009546688000000358,0.625,0.6242929864253394,0.625,0.6235555711184256
1,5,Random Forest,0.15877535599997827,0.6,0.5990801954584649,0.6,0.5968459588848212
1,5,Gradient Boosting,0.02077768900016963,0.6416666666666667,0.6415000000000001,0.6416666666666667,0.6393753074274471
2,1,Logistic Regression,0.036471512000161965,0.7,0.7030133928571428,0.7,0.6997499305362601
2,1,Decision Tree,0.008532211999863648,0.675,0.6786713286713286,0.675,0.6745257452574526
2,1,Random Forest,0.15156031500009703,0.7,0.7005555555555555,0.7,0.7000833564879133
2,1,Gradient Boosting,0.02478353500009689,0.675,0.6759794387329815,0.675,0.6750677130356275
2,2,Logistic Regression,0.027475624000089738,0.7333333333333333,0.7363809523809525,0.7333333333333333,0.7315375982042648
2,2,Decision Tree,0.008021353999993153,0.6166666666666667,0.617824074074074,0.6166666666666667,0.612888388247442
2,2,Random Forest,0.1536157269999876,0.625,0.627003788982804,0.625,0.6206349206349205
2,2,Gradient Boosting,0.021004391000133182,0.725,0.7270389315146348,0.725,0.723517053014917
2,3,Logistic Regression,0.009120066999912524,0.6666666666666666,0.6758095238095237,0.6666666666666666,0.6644345238095238
2,3,Decision Tree,0.009361259000115751,0.5916666666666667,0.5958274664413781,0.5916666666666667,0.5903884057971015
2,3,Random Forest,0.14457956499995817,0.6166666666666667,0.6204826038159371,0.6166666666666667,0.6158138672599184
2,3,Gradient Boosting,0.02111391499988713,0.6083333333333333,0.6145069622051719,0.6083333333333333,0.6062318537616426
2,4,Logistic Regression,0.030031748000055813,0.6916666666666667,0.7018977146884123,0.6916666666666667,0.6854073177101883
2,4,Decision Tree,0.009439507000024605,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667
2,4,Random Forest,0.1687094920000618,0.6583333333333333,0.6602519881191913,0.6583333333333333,0.6555243248307685
2,4,Gradient Boosting,0.02834851600005095,0.6333333333333333,0.634095238095238,0.6333333333333333,0.6308641975308641
2,5,Logistic Regression,0.009501430000000255,0.6666666666666666,0.6662911855815263,0.6666666666666666,0.6657342657342658
2,5,Decision Tree,0.00952698900005089,0.5833333333333334,0.5862573099415205,0.5833333333333334,0.5833333333333334
2,5,Random Forest,0.1770703570000478,0.5583333333333333,0.558718020022247,0.5583333333333333,0.5584869565217391
2,5,Gradient Boosting,0.02129002899982879,0.6166666666666667,0.6174353987218671,0.6166666666666667,0.6168798665183537
3,1,Logistic Regression,0.00853512599996975,0.7333333333333333,0.7332961309523809,0.7333333333333333,0.7331105541631857
3,1,Decision Tree,0.009292986999980712,0.6,0.5996651785714285,0.6,0.5996658312447786
3,1,Random Forest,0.16387219200009895,0.7,0.7,0.7,0.7
3,1,Gradient Boosting,0.020924559999912162,0.775,0.777541074909496,0.775,0.774921869574276
3,2,Logistic Regression,0.008735849000004237,0.625,0.6248259537733222,0.625,0.6248695652173913
3,2,Decision Tree,0.00812027200004195,0.5333333333333333,0.5324354657687991,0.5333333333333333,0.5322916666666667
3,2,Random Forest,0.1341639509998913,0.5916666666666667,0.5912121212121212,0.5916666666666667,0.5910691473300351
3,2,Gradient Boosting,0.020123817000012423,0.5583333333333333,0.5575002346756782,0.5583333333333333,0.5569453174104336
3,3,Logistic Regression,0.008967796999968414,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333
3,3,Decision Tree,0.008065340000030119,0.6166666666666667,0.6204826038159371,0.6166666666666667,0.6158138672599184
3,3,Random Forest,0.1488212700000986,0.6416666666666667,0.6414219114219114,0.6416666666666667,0.6411423129630921
3,3,Gradient Boosting,0.023572323000053075,0.6583333333333333,0.65856719459109,0.6583333333333333,0.6584045584045584
3,4,Logistic Regression,0.03830958200001078,0.6833333333333333,0.6831845238095239,0.6833333333333333,0.683068783068783
3,4,Decision Tree,0.009630994999952236,0.5916666666666667,0.5919190515884042,0.5916666666666667,0.591751789312765
3,4,Random Forest,0.1455021140000099,0.6,0.6050904977375566,0.6,0.5983291562238932
3,4,Gradient Boosting,0.023903389999986757,0.6083333333333333,0.6085810873390757,0.6083333333333333,0.6084149815857134
3,5,Logistic Regression,0.027452709000044706,0.6583333333333333,0.6578703703703703,0.6583333333333333,0.6576890844332705
3,5,Decision Tree,0.008858172999907765,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667
3,5,Random Forest,0.1788911010000902,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
3,5,Gradient Boosting,0.020443175999844243,0.625,0.624368686868687,0.625,0.6242928975487115
4,1,Logistic Regression,0.03537085199991452,0.625,0.6259701063524,0.625,0.6219169418874289
4,1,Decision Tree,0.008898604000023624,0.6083333333333333,0.6088291654690045,0.6083333333333333,0.6051132504157589
4,1,Random Forest,0.16393154100001084,0.6,0.6005787037037037,0.6,0.5960574486060265
4,1,Gradient Boosting,0.020681705000015427,0.6416666666666667,0.6443651024968424,0.6416666666666667,0.6374955908289243
4,2,Logistic Regression,0.009530605000009018,0.6666666666666666,0.6664806547619048,0.6666666666666666,0.6663881927039822
4,2,Decision Tree,0.009252104999859512,0.6,0.5996606334841629,0.6,0.5983216783216783
4,2,Random Forest,0.16622655299988764,0.6333333333333333,0.6347423062662217,0.6333333333333333,0.6333333333333333
4,2,Gradient Boosting,0.02101726899991263,0.625,0.6248259537733222,0.625,0.6248695652173913
4,3,Logistic Regression,0.0089501410000139,0.775,0.7752014448457903,0.775,0.7750469043151971
4,3,Decision Tree,0.008319892999907097,0.6083333333333333,0.6079487179487179,0.6083333333333333,0.6077602025410541
4,3,Random Forest,0.1362226720000308,0.6166666666666667,0.6180385613644791,0.6166666666666667,0.6166666666666667
4,3,Gradient Boosting,0.02121374599983028,0.6583333333333333,0.658187134502924,0.6583333333333333,0.6582144927536232
4,4,Logistic Regression,0.010307552000085707,0.625,0.6246853146853145,0.625,0.624451257752073
4,4,Decision Tree,0.009179006000067602,0.5916666666666667,0.5912121212121212,0.5916666666666667,0.5910691473300351
4,4,Random Forest,0.1622104269999909,0.6,0.5995510662177329,0.6,0.5991071428571428
4,4,Gradient Boosting,0.022035470999981044,0.5833333333333334,0.5838888888888889,0.5833333333333334,0.5834491062332129
4,5,Logistic Regression,0.008689798999967024,0.675,0.6753197997775306,0.675,0.6751130434782607
