Repeat,Fold,Model,Runtime_Sec,MAE,RMSE,R2
1,1,Linear Regression,0.008819383999934871,3597.978694662064,4485.898312082618,0.5721707001123272
1,1,Decision Tree,0.008084038000106375,5046.99065221507,6180.31249635892,0.18793172440561035
1,1,Random Forest,0.13116611200007355,3835.393566666667,4690.0839843775775,0.5323371048739756
1,1,Gradient Boosting,0.017088390000026266,3946.5997771493744,4965.9615208648065,0.47570179022947223
1,2,Linear Regression,0.0072664490000988735,4018.6855238509897,4921.128545507092,0.4070897380802859
1,2,Decision Tree,0.008079772000201046,5280.179152335213,6626.553764654583,-0.07506568563683547
1,2,Random Forest,0.12123969699996451,4279.101285833332,5339.456354941409,0.3020028811483575
1,2,Gradient Boosting,0.01820222600008492,4121.380041958715,5143.752643808619,0.35223168703897
1,3,Linear Regression,0.007042101000024559,3218.1645938306347,4185.044410983206,0.5844731278237083
1,3,Decision Tree,0.008046210999964387,4080.158687480607,5338.8528187677575,0.3237693211387017
1,3,Random Forest,0.10525223199988432,3546.486881666667,4530.522422359979,0.5130374744181594
1,3,Gradient Boosting,0.016601578000063455,3840.7316609669365,4847.637839024284,0.4424814699898132
1,4,Linear Regression,0.007080228999939209,4354.433546954975,5233.020167313205,0.38306957430093014
1,4,Decision Tree,0.007497145000115779,5570.323268150517,6770.529610844979,-0.0327058946716301
1,4,Random Forest,0.1168580529999872,4782.083229999999,5640.135734240414,0.2833444247420722
1,4,Gradient Boosting,0.018719654000051378,4499.725508298319,5648.448472302892,0.28123037624867686
1,5,Linear Regression,0.007670456999903763,3559.3465469459256,4487.906712932448,0.5355315995968273
1,5,Decision Tree,0.007885418999876492,4566.224999330993,5815.488440898664,0.22009640120853424
1,5,Random Forest,0.12058383500016134,3670.9781175000003,4706.676185395663,0.48914556121823094
1,5,Gradient Boosting,0.018627044999902864,3933.3005626706085,4893.532282730433,0.44777832860113165
2,1,Linear Regression,0.00684446500008562,3777.6992913665204,4727.3215973566585,0.4776937123069914
2,1,Decision Tree,0.007980061999887766,4106.409515951179,5245.990027214254,0.3567943079482617
2,1,Random Forest,0.11743654099996093,3900.752974166667,4948.015293388691,0.42778791692211593
2,1,Gradient Boosting,0.01775185899987264,4081.047650157663,5037.530275869451,0.4068967602196709
2,2,Linear Regression,0.007087850000061735,3832.674499771931,4890.799883689206,0.5110721589616587
2,2,Decision Tree,0.007745819999854575,5254.483463473513,6346.188820857093,0.17678938660050403
2,2,Random Forest,0.12007290799988368,4036.3478141666646,5036.486203525798,0.48151012632905354
2,2,Gradient Boosting,0.019761570999889955,4250.80385733934,5410.724505647727,0.4015941573228409
2,3,Linear Regression,0.008228425999959654,3381.7975360734986,4315.9497758684865,0.5439654723898795
2,3,Decision Tree,0.008368425999833562,4649.980344204696,5810.031886477715,0.17357776606887187
2,3,Random Forest,0.10900669900001958,3811.1477750000026,4767.366528770227,0.4435808773590144
2,3,Gradient Boosting,0.022172637000039686,3867.598326160068,4909.183923162572,0.409984300603939
2,4,Linear Regression,0.010903258000098504,3746.0880923944537,4662.996094672305,0.48503682592076935
2,4,Decision Tree,0.008446983999874647,4680.3347913124835,5992.527510469871,0.14951601028172867
2,4,Random Forest,0.10342042100000981,4032.122668333335,5003.858298547692,0.4069981136770249
2,4,Gradient Boosting,0.016578994000155944,3941.5786305691186,4996.782206319645,0.40867408803670924
2,5,Linear Regression,0.007366358999888689,3870.8308547658808,4648.147830213288,0.49666382903305717
2,5,Decision Tree,0.007791979000103311,5674.134651327205,6854.689892421716,-0.09464652086238035
2,5,Random Forest,0.11130330199989658,4172.066132499998,5060.870148048026,0.40331012889064577
2,5,Gradient Boosting,0.017714101999899867,4069.5357779674578,4988.662468139678,0.4202156098965797
3,1,Linear Regression,0.00700072899985571,4075.421749325428,4979.015578755095,0.49019046814792555
3,1,Decision Tree,0.00899504800008799,5087.6137765868525,6584.372163990952,0.10844175355676966
3,1,Random Forest,0.11889514499989673,4364.278644166667,5231.040510307818,0.43727378503064107
