Fold,Model,Accuracy,Precision,Recall,F1,Dataset
1,Logistic Regression,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168,Wine
1,Decision Tree,0.8888888888888888,0.8935185185185185,0.8888888888888888,0.8871406371406372,Wine
1,Random Forest,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168,Wine
1,Gradient Boosting,0.9166666666666666,0.917055167055167,0.9166666666666666,0.9157848324514991,Wine
2,Logistic Regression,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168,Wine
2,Decision Tree,0.8888888888888888,0.8879392212725546,0.8888888888888888,0.8872514619883041,Wine
2,Random Forest,1.0,1.0,1.0,1.0,Wine
2,Gradient Boosting,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8879012345679012,Wine
3,Logistic Regression,1.0,1.0,1.0,1.0,Wine
3,Decision Tree,0.9166666666666666,0.9358974358974359,0.9166666666666666,0.9171014492753622,Wine
3,Random Forest,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168,Wine
3,Gradient Boosting,0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168,Wine
4,Logistic Regression,1.0,1.0,1.0,1.0,Wine
4,Decision Tree,0.8285714285714286,0.8371428571428572,0.8285714285714286,0.8290909090909091,Wine
4,Random Forest,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,Wine
4,Gradient Boosting,0.8857142857142857,0.9111111111111111,0.8857142857142857,0.8858943577430972,Wine
5,Logistic Regression,1.0,1.0,1.0,1.0,Wine
5,Decision Tree,0.9142857142857143,0.9207142857142857,0.9142857142857143,0.9135629396070821,Wine
5,Random Forest,1.0,1.0,1.0,1.0,Wine
5,Gradient Boosting,0.9142857142857143,0.9285714285714286,0.9142857142857143,0.9144843391902215,Wine
